Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_23_222.jpg;0;0;0;1.542017;105.8499;88.72025;359.7222;26.87192;0.002643874
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_23_288.jpg;0;0;0;1.535047;105.9321;88.76181;359.7201;26.87069;0.001904832
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_23_355.jpg;0;0;0;1.529712;106.0411;88.81707;359.7189;26.86994;-0.001301767
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_23_421.jpg;0;0;0;1.52452;106.1226;88.85834;359.7155;26.86991;-0.003141085
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_23_487.jpg;0;0;0;1.51758;106.2038;88.89954;359.715;26.87171;6.579475E-05
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_23_555.jpg;0;0;0;1.512341;106.3116;88.95418;359.7132;26.87204;0.003323609
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_23_621.jpg;0;0;0;1.507205;106.3922;88.99494;359.7121;26.87079;0.002463115
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_23_687.jpg;0;0;0;1.500255;106.4725;89.03562;359.7128;26.87011;-0.0001275607
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_23_754.jpg;0;0;0;1.495158;106.5791;89.08965;359.7109;26.87003;-0.002725533
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_23_821.jpg;0;0;0;1.490078;106.6588;89.13007;359.7119;26.87165;-7.724081E-06
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_23_887.jpg;0;0;0;1.483206;106.7381;89.17031;359.7126;26.87196;0.002390063
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_23_954.jpg;0;0;0;1.478166;106.8435;89.22371;359.7109;26.87199;0.005032286
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_24_020.jpg;0;0;0.2002108;1.467245;106.9208;89.26276;359.675;26.86992;0.0002623662
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_24_087.jpg;0;0;0.3990147;1.395996;106.9934;89.29959;359.5484;26.87024;-0.0009362719
